			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

TE_00000215	DNA	Helitron	5829	734	824	588	180	627	188	408	0	666	101	0	301	0	425	379	1732	573	1473	577	319	1790	1911	433	362	359	151	152	440	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000871_LTR	LTR	Gypsy	1208	0	0	0	426	1211	4539	6032	596	3100	0	0	0	350	632	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000294_INT	LTR	Gypsy	47	714	5746	357	4430	0	9155	17151	24039	44896	16253	0	7471	22944	5110	0	0	0	0	0	1379	0	1162	0	6327	5933	2636	2875	0	0	0	1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000192	DNA	Helitron	4555	1558	76	0	609	55	217	0	72	0	0	0	0	0	0	0	195	0	0	614	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000115	DNA	DTM	2287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000427	DNA	Helitron	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000371	DNA	Helitron	2085	7683	6166	4418	1541	1694	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000375	DNA	Helitron	1462	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	159	319	151	589	438	688	476	420	279	956	778	251	0	180	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000352_INT	LTR	Copia	2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	707	0	0	135	0	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000019	DNA	Helitron	2452	75	0	0	0	34	0	192	262	0	0	0	0	257	146	65	281	902	2018	2367	5487	4826	3418	2361	818	499	677	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000307	DNA	DTM	3876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	200	0	368	467	647	495	149	0	0	0	688	462	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000421_INT	LTR	Gypsy	0	1958	1362	1601	9077	9135	7394	18907	43098	15245	18727	15390	17365	0	1476	0	2690	3584	0	0	1482	346	0	911	1527	851	1043	2223	14527	7853	2252	539	1060	1084	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000194	DNA	DTC	3192	252	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000712_INT	LTR	Copia	0	0	0	0	0	6652	4469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	6450	1655	4801	1258	483	0	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000605_INT	LTR	unknown	614	198	51	0	0	71	59	0	0	239	0	177	75	190	0	164	598	58	0	0	0	136	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000762_INT	LTR	Gypsy	6539	0	0	0	0	3608	0	548	117	0	130	0	76	0	380	76	76	0	0	190	0	0	0	0	0	151	194	0	0	1255	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000727_INT	LTR	Copia	4196	0	0	0	0	0	4242	0	0	0	0	72	0	0	0	0	0	63	0	0	0	0	0	0	0	8310	0	2345	1895	509	103	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000907_INT	LTR	Copia	2863	2797	0	0	0	0	0	0	0	0	0	0	0	0	0	2584	0	0	0	1513	62	0	44	104	70	0	0	0	0	122	1834	645	446	58	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000485_LTR	LTR	Gypsy	3327	6395	2872	5840	4983	988	613	777	597	54	988	0	1178	108	0	51	0	0	0	0	403	0	0	193	527	0	1504	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000869	MITE	DTM	258	0	0	0	0	0	0	0	0	41	91	96	239	142	422	513	0	854	81	276	180	115	88	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000650_INT	LTR	Gypsy	4868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
